Iteration 0, D_loss = 0.2797,G_loss = 8.6895,train acc = 0.7892, train f1 = 0.4397, test acc = 0.8333, test f1 = 0.5000, best acc = 0.8333, best f1 = 0.5000, lr = 0.00020000 
Iteration 1, D_loss = 0.0136,G_loss = 11.2565,train acc = 0.8235, train f1 = 0.4480, test acc = 0.8333, test f1 = 0.3562, best acc = 0.8333, best f1 = 0.5000, lr = 0.00020000 
Iteration 2, D_loss = 0.0016,G_loss = 14.0817,train acc = 0.8235, train f1 = 0.3543, test acc = 0.8333, test f1 = 0.2680, best acc = 0.8333, best f1 = 0.5000, lr = 0.00020000 
Iteration 3, D_loss = 0.0007,G_loss = 15.3447,train acc = 0.8235, train f1 = 0.2928, test acc = 0.8333, test f1 = 0.2149, best acc = 0.8333, best f1 = 0.5000, lr = 0.00020000 
Iteration 4, D_loss = 0.0012,G_loss = 13.8311,train acc = 0.8235, train f1 = 0.2495, test acc = 0.8333, test f1 = 0.1793, best acc = 0.8333, best f1 = 0.5000, lr = 0.00020000 
Iteration 5, D_loss = 0.3637,G_loss = 10.6894,train acc = 0.8137, train f1 = 0.2201, test acc = 0.8333, test f1 = 0.1538, best acc = 0.8333, best f1 = 0.5000, lr = 0.00020000 
Iteration 6, D_loss = 0.0090,G_loss = 12.1619,train acc = 0.8235, train f1 = 0.1950, test acc = 0.8368, test f1 = 0.1347, best acc = 0.8368, best f1 = 0.5000, lr = 0.00020000 
Iteration 7, D_loss = 0.0010,G_loss = 14.1323,train acc = 0.8248, train f1 = 0.1751, test acc = 0.8299, test f1 = 0.1198, best acc = 0.8368, best f1 = 0.5000, lr = 0.00020000 
Iteration 8, D_loss = 0.0007,G_loss = 14.5426,train acc = 0.8217, train f1 = 0.1589, test acc = 0.8333, test f1 = 0.1079, best acc = 0.8368, best f1 = 0.5000, lr = 0.00020000 
Iteration 9, D_loss = 0.0097,G_loss = 13.9646,train acc = 0.8211, train f1 = 0.1454, test acc = 0.8333, test f1 = 0.0981, best acc = 0.8368, best f1 = 0.5000, lr = 0.00020000 
Iteration 10, D_loss = 0.0006,G_loss = 17.1371,train acc = 0.8235, train f1 = 0.1340, test acc = 0.8333, test f1 = 0.0900, best acc = 0.8368, best f1 = 0.5000, lr = 0.00020000 
Iteration 11, D_loss = 0.0014,G_loss = 14.0645,train acc = 0.8235, train f1 = 0.1243, test acc = 0.8333, test f1 = 0.0831, best acc = 0.8368, best f1 = 0.5000, lr = 0.00020000 
Iteration 12, D_loss = 0.0004,G_loss = 16.8377,train acc = 0.8235, train f1 = 0.1159, test acc = 0.8333, test f1 = 0.0772, best acc = 0.8368, best f1 = 0.5000, lr = 0.00020000 
Iteration 13, D_loss = 0.0010,G_loss = 16.4095,train acc = 0.8235, train f1 = 0.1086, test acc = 0.8472, test f1 = 0.0720, best acc = 0.8472, best f1 = 0.5000, lr = 0.00020000 
Iteration 14, D_loss = 0.0003,G_loss = 16.3845,train acc = 0.8009, train f1 = 0.1021, test acc = 0.8229, test f1 = 0.0675, best acc = 0.8472, best f1 = 0.5000, lr = 0.00020000 
Iteration 15, D_loss = 0.0001,G_loss = 18.2166,train acc = 0.7898, train f1 = 0.0964, test acc = 0.8229, test f1 = 0.0636, best acc = 0.8472, best f1 = 0.5000, lr = 0.00020000 
Iteration 16, D_loss = 0.0002,G_loss = 17.1413,train acc = 0.8039, train f1 = 0.0912, test acc = 0.8299, test f1 = 0.0600, best acc = 0.8472, best f1 = 0.5000, lr = 0.00020000 
Iteration 17, D_loss = 0.0006,G_loss = 16.3986,train acc = 0.8235, train f1 = 0.0866, test acc = 0.8333, test f1 = 0.0569, best acc = 0.8472, best f1 = 0.5000, lr = 0.00020000 
Iteration 18, D_loss = 0.0002,G_loss = 16.8072,train acc = 0.8235, train f1 = 0.0825, test acc = 0.8333, test f1 = 0.0541, best acc = 0.8472, best f1 = 0.5000, lr = 0.00020000 
Iteration 19, D_loss = 0.0006,G_loss = 15.4078,train acc = 0.8235, train f1 = 0.0787, test acc = 0.8333, test f1 = 0.0515, best acc = 0.8472, best f1 = 0.5000, lr = 0.00020000 
